id,nome,corso,academic_profile,aspiration_values,lifestyle_preferences,annual_cost,city,coordinates,min_gpa,prestige_rank,duration_years,employment_rate,english_courses,dorms_available,admission_test_required,extracurricular_clubs
1,Politecnico di Milano,Ingegneria Informatica,"Ingegneria Informatica, AI, Cloud Computing | Focus su tecnologia e innovazione","Innovazione tecnologica, ricerca applicata, industria 4.0, startup e imprenditorialità","Ambiente competitivo e intenso, molti progetti pratici, hackathon, networking aziendale",3500,Milano,"{""lat"": 45.4773, ""lon"": 9.2282}",7.0,15,3,95,True,True,True,True
2,Università di Bologna,Filosofia,"Filosofia, Scienze Umane, Pensiero Critico | NO: Tecnologia, Ingegneria","Ricerca teorica, pensiero critico, tradizione accademica, insegnamento e formazione","Ambiente riflessivo e moderato, seminari, discussioni, città universitaria vivace",2000,Bologna,"{""lat"": 44.4938, ""lon"": 11.3387}",6.0,45,3,60,False,True,False,True
3,Università Tor Vergata,Informatica,"Informatica, Programmazione, Algoritmi | Focus su fondamenti teorici e pratici","Formazione solida in computer science, ricerca accademica, preparazione industria software","Ambiente accademico equilibrato, progetti di gruppo, buon bilanciamento teoria-pratica",1800,Roma,"{""lat"": 41.8547, ""lon"": 12.6043}",6.5,80,3,78,True,True,False,True
4,Università di Trento,Computer Science,"Computer Science, Machine Learning, Data Science | Approccio internazionale","Ricerca all'avanguardia, innovazione AI, collaborazioni internazionali, eccellenza accademica","Ambiente molto focalizzato sullo studio, città piccola e seria, meno distrazioni",2500,Trento,"{""lat"": 46.0664, ""lon"": 11.1257}",7.5,25,3,90,True,True,True,True
5,Bocconi,Economia e Management,"Economia, Finanza, Management | NO: Informatica, Ingegneria","Leadership aziendale, business internazionale, carriera in top companies, élite professionale","Ambiente altamente competitivo e molto intenso, networking, eventi esclusivi",12000,Milano,"{""lat"": 45.45, ""lon"": 9.19}",9.0,5,3,98,True,True,True,True
6,Università degli Studi di Milano,Medicina e Chirurgia,"Medicina, Chirurgia, Scienze Biomediche | Forte componente clinica e di ricerca","Carriera medica in ospedale o ricerca clinica, servizio pubblico, alta specializzazione","Studio intenso, tirocinio in ospedale, ritmi impegnativi, città grande e dinamica",3000,Milano,"{""lat"": 45.4642, ""lon"": 9.19}",8.5,12,6,99,True,True,True,True
7,Università degli Studi di Milano,Giurisprudenza,"Diritto, Legislazione, Studi giuridici | Focus su diritto pubblico e privato","Carriera forense, magistratura, consulenza legale per aziende e PA","Molto studio individuale, lezioni frontali, vita cittadina ricca di opportunità culturali",2600,Milano,"{""lat"": 45.4642, ""lon"": 9.19}",7.0,30,5,85,False,True,False,True
8,Università degli Studi di Milano,Lettere Moderne,"Lettere, Studi Umanistici, Letteratura | NO: STEM, Ingegneria","Cultura umanistica, insegnamento, editoria, comunicazione culturale","Ambiente riflessivo, forte vita culturale (cinema, teatri, librerie), ritmi meno tecnici",2200,Milano,"{""lat"": 45.4642, ""lon"": 9.19}",6.0,55,3,65,False,True,False,True
9,Università Cattolica del Sacro Cuore,Psicologia,"Psicologia, Neuroscienze, Scienze della Formazione | Approccio integrato bio-psico-sociale","Lavoro di aiuto, counseling, ricerca psicologica, ambito clinico ed educativo","Campus strutturato, vita associativa, contesto leggermente più ""protetto"" rispetto alla statale",5500,Milano,"{""lat"": 45.4642, ""lon"": 9.19}",8.0,35,5,88,True,True,True,True
10,Università Cattolica del Sacro Cuore,Scienze Politiche e Relazioni Internazionali,"Scienze Politiche, Relazioni Internazionali, Studi Europei","Carriera in istituzioni internazionali, ONG, diplomazia, comunicazione politica","Ambiente internazionale, eventi culturali e conferenze, networking nel terzo settore",5200,Milano,"{""lat"": 45.4642, ""lon"": 9.19}",7.5,40,3,82,True,True,True,True
